ORIGIN,DEST
MCI,IAD
IAH,ATL
IAH,MAF
BHM,IAH
IAH,SAV
GRR,IAH
IAD,SAV
SAV,IAD
MFE,IAH
IAH,TUL
STL,IAH
IAD,DFW
IAH,ECP
IAH,SDF
IAH,CHS
IAD,OKC
IAH,ELP
LGA,IAH
DFW,DRO
PHX,ELP
DFW,COU
DFW,DSM
DSM,DFW
PHX,PSP
PSP,PHX
DFW,GSO
GSO,DFW
PHX,SBA
SBA,PHX
IAH,PHX
PHX,IAH
DRO,DFW
PHX,TUS
DFW,MAF
MAF,DFW
DFW,LFT
DFW,MEM
MEM,DFW
DFW,MSN
MSN,DFW
DFW,OKC
OKC,DFW
DFW,PIA
PHX,STS
STS,PHX
CID,DFW
DFW,ECP
PHX,ELP
DFW,PHX
PHX,ABQ
DFW,AMA
DRO,PHX
PHX,YUM
YUM,PHX
DFW,FSD
COU,DFW
DFW,ELP
TUS,PHX
DFW,HOU
PHX,MAF
FSD,PHX
PHX,FSD
PHX,MRY
BHM,DFW
DFW,BHM
MRY,PHX
PHX,MRY
DFW,MOB
DFW,PNS
DFW,MSN
PHX,MSN
ECP,DFW
SDF,DFW
PHX,TUS
TUS,PHX
DFW,AVL
PHX,IAH
PHX,BUR
BUR,PHX
PHX,BUR
LBB,PHX
CRP,DFW
DFW,CRP
DFW,CRP
FAT,PHX
PHX,FAT
FLG,PHX
PHX,FLG
PHX,FAT
PHX,TUS
DFW,LBB
LBB,DFW
BMI,DFW
DFW,BMI
DFW,OKC
DFW,MAF
MAF,DFW
DFW,MLI
DFW,BFL
ABQ,DFW
DFW,ABQ
AMA,DFW
DFW,AMA
DFW,ECP
MAF,DFW
DFW,LBB
DFW,MAF
CLT,EWN
LIT,CLT
CLT,SAV
CLT,LIT
DAY,CLT
CLT,FAY
CLT,ORF
CLT,IAD
IAD,CLT
CLT,OKC
CLT,BTV
CLT,MEM
CLT,LEX
CLT,VPS
FWA,CLT
CLT,MYR
CLT,CHO
CAE,CLT
CLT,EWN
ALB,DCA
DCA,ALB
AVL,PHL
PHL,AVL
DCA,GSP
CLT,RIC
CRW,CLT
CLT,BHM
ATL,CLT
CLT,ATL
CLT,CHS
DFW,LIT
MHT,DCA
CLT,AVP
CLT,CAK
CVG,PHL
CVG,PHL
PHL,GSP
CLT,BTR
CRW,PHL
CLT,EWN
EWN,CLT
CAK,CLT
CLT,CAK
SAV,DFW
CLT,AVP
GNV,CLT
CAK,PHL
CLT,SRQ
DAY,LGA
CLT,PIA
CLT,PHF
DFW,JAN
JAN,DFW
BTV,CLT
IND,DFW
MIA,PHX
KOA,DFW
LAX,JFK
DFW,PHX
OGG,LAX
MCO,MIA
MIA,MCO
GUC,DFW
MIA,CLT
LIH,LAX
DFW,MIA
LAS,LAX
IAD,DFW
LAX,ORD
DFW,SAN
SAN,DFW
PHX,SEA
MIA,MSY
DFW,HDN
HDN,DFW
DFW,SLC
DFW,SNA
JFK,BOS
LAX,DFW
CLT,DEN
DCA,CLT
EWR,PHX
MIA,JFK
ORD,LAX
DFW,EYW
EYW,DFW
LAX,DEN
TPA,ORD
JAX,CLT
ATL,LAX
LAX,ATL
LAX,BOS
LAX,DEN
RIC,DFW
MCO,MIA
MIA,MCO
DFW,TUS
MIA,LAX
MIA,STT
STT,MIA
MSY,DFW
ONT,DFW
RDU,DFW
LAX,IND
MIA,ORD
PHL,SJU
SJU,PHL
MIA,LAX
PSP,DFW
DFW,ELP
PHL,SJU
DEN,MIA
PHX,IAH
DFW,OKC
MIA,SJU
ATL,ORD
CLT,MIA
DFW,MSP
PHX,EWR
LAX,ORD
MIA,SJU
SJU,MIA
IAH,MIA
MIA,IAH
STL,DFW
LAX,SAT
SAT,LAX
LAX,BOS
MIA,SFO
JFK,DFW
RDU,LAX
PIT,PHL
LAX,CLT
DFW,SMF
JAX,CLT
CLT,SYR
CLT,DFW
MIA,CLT
PHX,BOI
LAX,LAS
DCA,MCO
ABQ,DFW
LIH,LAX
DFW,ABQ
DCA,DFW
PHL,LGA
EWR,MIA
MIA,EWR
MIA,LAX
ORD,STL
ONT,DFW
LAX,SFO
SFO,LAX
SFO,PHL
PHX,PDX
DTW,DFW
EWR,DFW
MIA,CLT
CLT,IAH
BOS,LAX
DFW,SFO
CLT,STT
STT,CLT
DFW,TPA
SAN,MIA
EWR,PHX
SFO,DFW
ORD,JAC
DFW,SEA
LAX,MIA
RSW,DFW
DFW,SAT
MIA,RDU
LAX,BNA
PHX,DFW
IND,DFW
MIA,LGA
LAX,MIA
LAX,MIA
DFW,MCO
MIA,SJU
STT,FLL
PHL,DFW
MCO,BOS
BOS,SJU
SJU,BOS
BOS,MCO
LAS,PDX
ACY,MCO
MCO,ACY
